org_code,org
RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
RWJ,STOCKPORT NHS FOUNDATION TRUST
RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST
RNK,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST"
RBV,THE CHRISTIE NHS FOUNDATION TRUST
REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST"
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST
RFR,THE ROTHERHAM NHS FOUNDATION TRUST
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST
RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST
RET,THE WALTON CENTRE NHS FOUNDATION TRUST
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST
RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST
RBK,WALSALL HEALTHCARE NHS TRUST
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST
RKL,WEST LONDON NHS TRUST
RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST
RGR,WEST SUFFOLK NHS FOUNDATION TRUST
RKE,WHITTINGTON HEALTH NHS TRUST
RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST"
RLQ,WYE VALLEY NHS TRUST
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST
RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST
